"center_tree_number","mstrlvl","plotmstr","Park","Lat","Lon","Transect","Plot_ID","Directions","Center_tree","Date_relocated_2024","Directions_updated_2024","ash_plot_centers_notes_2024","Center_tree_updated_2024","Center_tree_2024_species","Center_tree_2024_total_DBH_cm","Center_tree_2024_number_of_stems","seedlings_done_y_n","saplings_done_y_n","trees_done_y_n","number_microplots","mean_percent_cover_seedlings","mean_density_short_seedlings","mean_density_tall_seedlings","mean_density_seedlings","total_number_short_seedlings","total_number_tall_seedlings","total_number_seedlings","number_subplot_quadrants","number_saplings","number_subplot_quadrants_with_black_ash_saplings","number_subplot_quadrants_with_green_white_pumpkin_ash_saplings","number_saplings_with_signs_symptoms","density_saplings_stems_per_m_squared","number_small_trees","number_small_trees_green_white_or_pumpkin","number_small_trees_black","number_small_trees_unknown_species","basal_area_small_trees_in_m_squared","number_living_small_trees","basal_area_living_small_trees_in_m_squared","number_healthy_small_trees","number_declining_small_trees","number_dead_small_trees","density_small_trees_stems_per_ha","basal_area_small_trees_m_squared_per_ha","density_living_small_trees_stems_per_ha","basal_area_living_small_trees_m_squared_per_ha","number_big_trees","number_living_big_trees","basal_area_big_trees_in_m_squared","basal_area_living_big_trees_in_m_squared","density_big_trees_stems_per_ha","basal_area_big_trees_m_squared_per_ha","density_living_big_trees_stems_per_ha","basal_area_living_big_trees_m_squared_per_ha"
1,"xeric",1,"Kensington",42.53254195,-83.6705388,"A","KENUPHD","Aspen trail across from Nature Ctr. Stay right, then right onto Tamarack Tr.  Plot on left side.  Fence uphill on left.","Prunus serotina            22.3 cm.","05_15_2024","","","23.2 cm black cherry","Prunus serotina","23.2",1,"y","y","y",4,8.75,0.369458128078818,1.60098522167488,1.97044334975369,6,26,32,4,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,"xeric",1,"Kensington",42.53296724,-83.67076505,"A","KENUPHD2","Continue N from KENUPHD ","Prunus virginiana (buck rub)  8.6 cm.","05_15_2024","From paired black walnuts: 320 degrees, 18 steps","","11.25 cm choke cherry","Prunus virginiana","11.25",1,"y","y","y",4,0.125,0.061576354679803,0,0.061576354679803,1,0,1,4,8,NA,NA,0,0.0397887218867812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,"xeric",1,"Kensington",42.53326356,-83.67093244,"A","KENUPHD3","Continue N & bear slightly toward fence from KENUPHD2 (center tree is NE of fenced area).","Ulmus rubra 35.0 cm. ","05_15_2024","Witness tree: Black walnut 36 cm DBH 110 degrees to the center tree. E of access road - north of a big basswood","","Center tree down - stump remains - PVC placed on S side. ","Missing","fallen",NA,"y","y","y",4,0,0,0,0,0,0,0,4,8,NA,NA,1,0.0397887218867812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,"mesic",3,"Hudson Mills",42.37834666,-83.91336117,"AA","HMHD","Near pond.Middle plot.","Ostraya virginiana (two stems)   13.5 + 7.9 cm.","","","","","","",NA,"n","n","n",4,3.375,0,0.554187192118227,0.554187192118227,0,9,9,4,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,"mesic",3,"Hudson Mills",42.3779638,-83.91309216,"AA","HMHD2","S of HMHD.  Adjacent to the pond. 1st plot.","5-stemmed Quercus rubra, 2 alive 35 + 35.3 cm.","07_30_2024","","Tilia - red oak - hickory - musclewood - some unknown (Ostrya or cherry) - the swamp to the West has pricly ash","44.9 + 45.1 cm 2-stem Quercus rubra","Quercus rubra","90",2,"y","y","y",4,1.75,0,0.123152709359606,0.123152709359606,0,2,2,4,2,NA,NA,0,0.0099471804716953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,"mesic",3,"Hudson Mills",42.37830402,-83.91382332,"AA","HMHD3","West of HMMAT.  Adjacent to low wet area to SE.  3rd plot.","Prunus serotina  16.5 cm.","","","","","","",NA,"n","n","n",4,5.875,0,0.554187192118227,0.554187192118227,0,9,9,4,4,NA,NA,2,0.0198943609433906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,"xeric",1,"Kensington",42.53544514,-83.66722319,"B","KENDRY","Deer run to Marsh shortcut to Chickadee loop (shelter). KENUP on rt. flagged hornbeam on left.  Walk NW   Left side of trail.","Carya ovata 17.2 cm.","05_30_2024","","basswoods - big oaks - hickories - beech - elm (slippery??)","18.6 cm Carya","Carya spp.","18.6",1,"y","y","y",4,4.875,0.677339901477833,0.369458128078818,1.04679802955665,11,6,17,4,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,"xeric",1,"Kensington",42.53563361,-83.66642756,"B","KENDRY2","Deer run to Marsh shortcut to Chickadee loop (shelter).  Past KENDRY.  Turn E into stand.  Right side of trail.","Carya spp.- 2 stemmed 32.4 + 11.9   ","07_31_2024","","Serviceberry - hawthorn - hickory - white oak - red oak - elm","36.7 + 12.8 cm Carya spp - tree tag partly swallowed","Carya spp.","49.5",2,"y","y","y",4,1.75,0.307881773399015,0.246305418719212,0.554187192118227,5,4,9,4,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,"xeric",1,"Kensington",42.53588209,-83.66709668,"B","KENDRY3","Left side of Chickadee trail .  Enter stand at flagged cherry.  NE from KENDRY.","Quercus alba 14.9","07_31_2024","","Red oak - cherry - walnut - hickory - red maple - white oak - beech","16.1 cm Quercus alba","Quercus alba","16.1",1,"y","y","y",4,2,0.246305418719212,0.123152709359606,0.369458128078818,4,2,6,4,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,"xeric",2,"Hudson Mills",42.37515735,-83.91411337,"BB","HMDRY","Take trail to the left toward point #12.  Turn left before shortcut.  Turn left (South) into stand past point # 11 (Life in Layers)","Quercus rubra (on big mound) 31.1 cm.","07_30_2024","","Bigtooth aspen - bitternut (and other Carya (?)) - walnut - some smaller Tilia - an elm - Prunus (choke?)","40.6 cm Quercus (red oak group) - tag missing","Quercus rubra","40.6",1,"y","y","y",4,13.625,0.123152709359606,0.61576354679803,0.738916256157636,2,10,12,4,8,NA,NA,2,0.0397887218867812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,"xeric",2,"Hudson Mills",42.37474575,-83.91429938,"BB","HMDRY2","SW of HMDRY","Tilia americana, btwn. 2 stones 10.6 cm.","07_30_2024","From witness tree (flagged 32.7 cm cherry): turn 255 degrees and go 2.7 meters","Cherry - elm - Tilia (lots) - Ostrya - hickory - white and red oak - Sassafrass - sugar maple. Some ash small trees in the 8-18 m or just outside it.","Tree down - missing. Rebar intact.","Missing","fallen",NA,"y","y","y",4,23,0.123152709359606,1.04679802955665,1.16995073891626,2,17,19,4,6,NA,NA,2,0.0298415414150859,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,"xeric",1,"Hudson Mills",42.37398156,-83.91421887,"BB","HMDRY3","S of HMDRY2.  Down slight slope and past large rock pile.","Prunus 28.3 cm.","07_30_2024","","Possibly serviceberry (see photos). Understory with American jumpseed. Red oaks - bigger Ostrya - cherry - hickory- white oak - some (few) Tilia.","32.8 cm Prunus","Prunus spp.","32.8",1,"y","y","y",4,0.875,0,0.061576354679803,0.061576354679803,0,1,1,4,1,NA,NA,1,0.00497359023584765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,"xeric",1,"Kensington",42.53463699,-83.66695495,"C","KENUP","Deer run to Swamp shortcut to Chickadee loop (shelter).  Turn right into stand at marked cherry.  Four-stemmed ash at the edge of the trail.","Acer rubrum (2 fused trunks) 25.2 cm.","05_30_2024","","very few ash - big red oaks - cherries - white oaks - Ostrya - Crataegus - hickory - some red maples - beech","25.9 cm - 1 trunk","Acer rubrum","25.9",1,"y","y","y",4,5.75,1.10837438423645,0.492610837438424,1.60098522167488,18,8,26,4,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,"xeric",1,"Kensington",42.53497995,-83.66657034,"C","KENUP2","Enter Chickadee loop near shelter.  Go right into stand at marked elm tree.  On same side as KENUP.","Amelanchier 9.5 cm. ","05_30_2024","","Serviceberry - red oak - white oak - hickory - cherry - red maple","10.9 cm Amelanchier","Amelanchier spp.","10.9",1,"y","y","y",4,21.125,1.72413793103448,1.53940886699507,3.26354679802956,28,25,53,4,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,"xeric",1,"Kensington",42.53429542,-83.66721965,"C","KENUP3","First plot on right from Chickadee loop shelter.  Turn into stand at flagged ironwood (Ostraya viriginiana)","Ostrya  8.3 cm.","05_30_2024","","Ostrya - red oaks - cherry - 1 bigtooth aspen - dogwood - hickory. Understory sparse - some honeysuckle and Celastrus.","9.8 cm Ostrya","Ostrya virginiana","9.8",1,"y","y","y",4,3.75,0.246305418719212,0.184729064039409,0.431034482758621,4,3,7,4,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,"mesic",2,"Island Lake",42.49941418,-83.7165664,"CC","ILOPEN","  Park at open area to left.  Cross road to gated path. Take path past wet area and enter stand at right where ground is dry.  ","Acer saccharum                           53.3 cm.","07_16_2024","","Tilia - bitternut hickory - sugar maple - beech - red oak - serviceberry or musclewood (see photo) - Ostrya - cottonwood (? See photo)","57.6 cm Acer saccharum - tree tag mostly swallowed","Acer saccharum","57.6",1,"y","y","y",4,8.75,0.923645320197044,0.738916256157636,1.66256157635468,15,12,27,4,10,2,4,0,0.0497359023584765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,"mesic",3,"Island Lake",42.50011316,-83.71690408,"CC","ILOPEN2","N of ILOPEN","Tilia americana            31.1 cm.","08_06_2024","","Found bladdernut in the understory. Lots of tree species including white oak - red oak - silver maple - swamp white oak - Tilia - etc.","34.4 cm Tilia americana","Tilia americana","34.4",1,"y","y","y",4,3,0.061576354679803,0.246305418719212,0.307881773399015,1,4,5,4,4,NA,NA,0,0.0198943609433906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,"mesic",4,"Island Lake",42.49984426,-83.71729405,"CC","ILOPEN3","NW of ILOPEN","Quercus bicolor 23.3 cm.","07_16_2024","South PVC direction was off. Not changed.","A 9.5 cm and an 8.5 cm black ash in the outer plot or close outside it. Red oak - red or silver maple - swamp white oak - Tilia - Carpinus - cottonwood","29.1 cm Quercus bicolor","Quercus bicolor","29.1",1,"y","y","y",4,5.875,0,0.492610837438424,0.492610837438424,0,8,8,4,51,4,1,1,0.25365310202823,16,0,16,0,0.0197582615965896,15,0.0181678303157098,14,1,1,795.774437735624,0.982694969541216,746.038535377147,0.90359343464751,0,0,0,0,0,0,0,0
19,"xeric",1,"Kensington",42.53784433,-83.66665362,"D","KENDRY3","Continue on Chickadee loop from KENDRY2.  Look for flagged elm at right.  Flagged center will be visible from trail. ","Acer rubrum 27.4 cm.","07_31_2024","","Sunnier spots covered with an Arabidopsis-type plant and American jumpseed. Black oak (?)(leaves with wider lobes) - walnut - sassafrass - white oak - cherry - elm - maple spp","33.0 cm Acer spp,","Acer spp.","33",1,"y","y","y",4,2.5,0.554187192118227,0.307881773399015,0.862068965517242,9,5,14,4,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,"xeric",1,"Kensington",42.53794168,-83.66596685,"D","KENDRY3A","Continue E from KENDRY3 to marked cherry.  Entance tree deeply grooved.","Prunus serotina 22.2 cm.","07_31_2024","","Cottonwood - walnut - hickory - slippery elm - cherry - oak (post oak??)","25.2 cm cherry","Prunus serotina","25.2",1,"y","y","y",4,0.625,0.123152709359606,0.061576354679803,0.184729064039409,2,1,3,4,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,"xeric",1,"Kensington",42.53727952,-83.66639485,"D","KENDRY3B","Before KENDRY3 on right side of Chickadee trail.  1st plot, closest to trail.  Turn into stand at marked beech.","Moved center to Acer rubrum from Prunus (needs tag)  14.1 cm.","07_31_2024","From a 21.2 cm Sassafrass:  turn 90 degrees and go 3.8 meters","Lots of red or black oak - cherry - beech - sassafrass. Some red maple - slippery elm - hickory","Center tree down","Missing","fallen",NA,"y","y","y",4,0,0,0,0,0,0,0,4,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,"hydric",4,"Island Lake",42.49971912,-83.71630958,"DD","ILLOW","NE of ILOPEN","Tilia americana  32.9 cm.","08_06_2024","","Swamp white oak - Tilia - beech - Carpinus - silver maple - hazelnut - cottonwood - Ilex (?) - Carya","34.1 cm Tilia","Tilia americana","34.1",1,"y","y","y",4,4.75,0,0.123152709359606,0.123152709359606,0,2,2,4,4,NA,NA,1,0.0198943609433906,12,3,8,1,0.0203062810190818,10,0.0165984162896825,7,3,2,596.830828301718,1.00995121002884,497.359023584765,0.825537211888992,0,0,0,0,0,0,0,0
23,"hydric",4,"Island Lake",42.50085549,-83.7166848,"DD","ILLOW2","N of ILOPEN2, 5 m away from a huge cottonwood","Acer sacharinum, S of huge cottonwood  54.5 cm.","08_07_2024","","Mostly green or pumpkin ash - not black ash as much. Water was 2-3 feet deep.","58.5 cm Acer saccharinum","Acer saccharinum","58.5",1,"n","n","n",4,2,0,0.246305418719212,0.246305418719212,0,4,4,4,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,"hydric",4,"Island Lake",42.49794685,-83.71775494,"DD","ILLOW3","  Walk left up park road and look for flagged red maple sapling right side of road.  Turn right at flagged tree.  Plot is ~40 m from road.  ","Acer saccharinum, (DBH above scar)    22.0 ","08_07_2024","From a huge mossy stump (or huge mound that was once a giant cottonwood tree): go 150 degrees and 9.4 meters to get to center. From a flagged 53 cm DBH silver maple: go 265 degrees and 5.43 meters.","Silver maple - elm - swamp white oak - red or pin oak - Carpinus - Ilex - hickory (with a red stem) - spicebush in understory.","Center tree decomposed. Only small mossy stump remains.","Missing","fallen",NA,"y","y","y",4,0,0,0,0,0,0,0,4,35,4,4,3,0.174075658254668,35,17,18,0,0.0466644318782594,33,0.0440506267904727,28,5,2,1740.75658254668,2.32089762751089,1641.28477782972,2.19089767288064,0,0,0,0,0,0,0,0
25,"xeric",3,"Proud Lake",42.5759159,-83.52099242,"E","PLINT","Park at top of Boat Launch Rd. off Bass Lake Rd.  Plot is down hill in low area before foot bridge.  ","Prunus serotina 24.1 cm.","06_13_2024","","","Black cherry 24.4 cm DBH","Prunus serotina","24.4",1,"y","y","y",4,5,0.123152709359606,0.246305418719212,0.369458128078818,2,4,6,4,35,4,3,7,0.174075658254668,8,1,5,2,0.00840690194100629,4,0.00276617233148581,1,3,4,397.887218867812,0.418124854075175,198.943609433906,0.137578076985498,0,0,0,0,0,0,0,0
26,"xeric",1,"Proud Lake",42.57601569,-83.52054316,"E","PLINT2","First of 2 plots on top of hill/ridge. Head NE off trail before trail turns left. Closest of the 3 plots to parking lot.","Quercus spp. 10.9 cm.","06_19_2024","","","13.7 cm Quercus","Quercus spp.","13.7",1,"y","y","y",4,19.6666666666667,1.10837438423645,0.677339901477833,1.78571428571429,18,11,29,4,15,NA,NA,3,0.0746038535377147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,"xeric",1,"Proud Lake",42.57637225,-83.52026922,"E","PLINT3","Plot is North of parking lot.(befpre bridge). Go about 320 ' into woods.  Plot is very close to pkg. lot. ","Prunus serotina  22.1 cm.","06_19_2024","","","22.8 cm Prunus serotina","Prunus serotina","22.8",1,"y","y","y",4,17,1.35467980295567,0.923645320197044,2.27832512315271,22,15,37,4,15,NA,NA,3,0.0746038535377147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,"xeric",3,"Highland",42.64473456,-83.56669535,"EE","HLMAT","Duck Lake Rd. to Livingston Rd.  Pkg on rt. Trail across rd.-stay left until T intersection.  Trail goes under road.  Turn left on seldom used trail w/8 on trail marker.  It faces the opposite way.  Turn right to find 1st  plot. ","Acer saccharum 22.0 cm.","07_17_2024","","Sugar maple - red oak - bitternut hickory - beech - elm in wet section. There is an approx 4.5 cm black ash at 17 meters. It has lots of bark splits and epicormics.","29.8 cm Acer saccharum","Acer saccharum","29.8",1,"y","y","y",4,1,0.492610837438424,0.123152709359606,0.61576354679803,8,2,10,4,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,"xeric",1,"Highland",42.64590976,-83.56680506,"EE","HLMAT2","Turn left out of plot on xc ski trail from HLMAT. On rt. look for sm. flagged beech & woody debris/huge downed tree.  Turn right go up hill. Stream is N of plot.","Acer saccharum 40.2 cm.","07_17_2024","From an 84.7 cm (huge) sugar maple - go 162 degrees and 6.25 meters","Lots of sugar maple - beech - Ostrya - smooth barked hickory - maybe a tuliptree","48.5 cm Acer saccharum - tree tag missing - only 1 microplot PVC found - no rebar found - map and GARMIN match the tree we found","Acer saccharum","48.5",1,"y","y","y",4,4.25,0.492610837438424,0.431034482758621,0.923645320197044,8,7,15,4,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,"xeric",1,"Highland",42.64686284,-83.56915982,"EE","HLMAT3","Cross small bridge over stream and turn left into stand up the hill at carved beech tree. Go uphill total distance hiked from parking lot is ~1.4 mi.","Quercus rubra  44.0 cm.","07_17_2024","","Tuliptree - hickory (smooth and shaggy barked) - red oak - LOTS of maple (sugar?) - Ostrya","48.1 cm Quercus (red or black oak) - tree tag almost swallowed","Quercus rubra","48.1",1,"y","y","y",4,14.25,1.29310344827586,0.862068965517241,2.1551724137931,21,14,35,4,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,"xeric",1,"Proud Lake",42.57578816,-83.52318352,"F","PLDRYMAT","Boat Launch Rd. off Bass Lake Rd.  Take trail in past wet area & cross bridge over stream.  Plot on right side (N) of trail, very close to trail. Enter woods at flagged cherry. ","Acer rubrum  10.1 cm.","06_19_2024","","","16.2 cm Acer rubrum - tree tag mostly swallowed","Acer rubrum","16.2",1,"y","y","y",4,6.25,0.554187192118227,0.800492610837439,1.35467980295567,9,13,22,4,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,"xeric",2,"Proud Lake",42.57577574,-83.52399007,"F","PLDRYMAT2","Same as above. Before powerline.   Plot on right side of trail, very close to trail.","Prunus  (2 stem)                  36.1 + 18.9 cm.","06_20_2024","","","43 cm + 19.7 cm Prunus 2-stem - tree tag missing","Prunus spp.","62.7",2,"y","y","y",4,1.125,0.184729064039409,0.061576354679803,0.246305418719212,3,1,4,4,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,"xeric",1,"Proud Lake",42.57635459,-83.52182426,"F","PLDRYMAT2A","Pass PLINT plots, cross bridge over stream.  Farthest right plot on this side.  Follow deer trail right and uphill.  Plot on a slope. ","Prunus serotina 18.8 cm.","06_19_2024","","","Prunus serotina 19.9 cm - tree tag missing","Prunus serotina","19.9",1,"y","y","y",4,5.125,0.246305418719212,0.554187192118227,0.800492610837439,4,9,13,4,23,NA,NA,5,0.114392575424496,4,3,1,0,0.00294524311274043,3,0.00219047547771548,3,0,1,198.943609433906,0.146484323877233,149.207707075429,0.108945274478294,0,0,0,0,0,0,0,0
34,"xeric",1,"Proud Lake",42.57571524,-83.52814029,"G","PLCONF","Same as above. Take trail past power line. Plot N of trail, very close to trail in white pine stand. ","Acer rubrum, (2-stem)                   5.3 + 4.3 cm.","06_20_2024","","dominant species maple beech and some pine","Acer rubrum 2-stem 5.4 + 4.3 cm","Acer rubrum","9.7",2,"y","y","y",4,10.5,0.061576354679803,0.307881773399015,0.369458128078818,1,5,6,4,1,NA,NA,0,0.00497359023584765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,"xeric",1,"Proud Lake",42.57581763,-83.52740826,"G","PLDRYMAT3","Same as above, take trail past power line. Plot lies E (rt. Of PLCONF). Very close to trail off rt. side.","Acer rubrum,  (3-stem) 22.6 + 16.5 + 10 cm.","06_20_2024","","dominant species maple and beech","Acer 25.5 cm + 18.5 cm + 11.5 cm 3-stem","Acer spp.","55.5",3,"y","y","y",4,0.375,0.123152709359606,0.061576354679803,0.184729064039409,2,1,3,4,3,NA,NA,0,0.0149207707075429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,"xeric",1,"Proud Lake",42.57607392,-83.52668128,"G","PLDRYMAT3A","Same as above, take trail past powerlines.  Plot  immed. E. of #34, and #35. Very close to trail off right side.","Quercus velutina  20.2 cm.","06_20_2024","","","23.6 cm black oak","Quercus velutina","23.6",1,"y","y","y",4,1.375,0.061576354679803,0.123152709359606,0.184729064039409,1,2,3,4,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
