Species,Aggregate species,Data set 1,Data set 2,Evergreen,Gymnosperm,Shade tolerance,Drought tolerance,Waterlogging tolerance
Abelia cross grandiflora (A. chinesis cross A. uniflora),N,East Asia,East Asia,Y,N,3.5,2,1
Abies alba,N,Europe,Europe,Y,Y,4.6pm0.06,1.81pm0.28,1.02pm0.02
Abies amabilis,N,North America,North America,Y,Y,4.21pm0.37,0.83pm0.17,1
Abies balsamea,N,North America,North America,Y,Y,5.01pm0.09,1,2
Abies concolor,N,North America,North America,Y,Y,4.33pm0.28,1.91pm0.12,1.02pm0.02
Abies firma,N,East Asia,East Asia,Y,Y,4.5,3,1
Abies fraseri,N,North America,North America,Y,Y,5pm0,2,2
Abies grandis,N,North America,North America,Y,Y,4.01pm0.19,2.33pm0.33,1.57pm0.3
Abies homolepis,N,East Asia,East Asia,Y,Y,4.5,2.5pm0.5,1.5
Abies lasiocarpa,N,North America,North America,Y,Y,4.83pm0.15,2.02pm0.02,0.97pm0.04
Abies magnifica,N,North America,North America,Y,Y,3.5pm0.22,0.67pm0.33,1
Abies mariesii,N,East Asia,East Asia,Y,Y,5,2,2pm0.5
Abies nordmanniana,N,Europe,Europe,Y,Y,4.5,1,1.5
Abies procera,N,North America,North America,Y,Y,2.45pm0.42,2.5,1
Abies sibirica,N,East Asia,East Asia,Y,Y,4.09pm0.32,1.41pm0.15,1.57pm0.16
Abies veitchii,N,East Asia,East Asia,Y,Y,4.5,2.5pm0.5,2pm0
Acacia rigidula,N,North America,North America,N,N,1,5,1
Acer barbatum,N,North America,North America,N,N,4.5,2.5pm0.5,1
Acer buergerianum,N,East Asia,East Asia,N,N,3,2.75,1.53
Acer campestre,N,Europe,Europe,N,N,3.18pm0.14,2.93pm0.32,1.89pm0.18
Acer carpinfolium,N,East Asia,East Asia,N,N,3.5,1,1.5
Acer circinatum,N,North America,North America,N,N,4.75pm0.25,2,1
Acer ginnala,N,East Asia,East Asia,N,N,3pm0,2.88pm0.12,1.27pm0.27
Acer glabrum,N,North America,North America,N,N,3.39pm0.39,2.88pm0.12,1.27pm0.27
Acer grandidentatum,N,North America,North America,N,N,3pm0,2.63pm0.13,1.27pm0.27
Acer griseum,N,East Asia,East Asia,N,N,3pm0,1.53,1.53
Acer macrophyllum,N,North America,North America,N,N,4.14pm0.14,2,2
Acer mono,N,East Asia,East Asia,N,N,4.25pm0.25,2.67pm0.33,1.5pm0.5
Acer monspessulanum,N,Europe,Europe,N,N,2.66pm0,4.31pm0.41,1.04
Acer negundo,N,North America,North America,N,N,3.47pm0.1,3.03pm0.82,2.75pm0.25
Acer nigrum,N,North America,North America,N,N,3pm0,3.35pm0.35,1.52pm0.48
Acer opalus,Y,Europe,Europe,N,N,3.48pm0.1,3.72pm0.17,1.04
Acer palmatum,N,East Asia,East Asia,N,N,4.19pm0.31,1.77pm0.23,1.52pm0.49
Acer pensylvanicum,N,North America,North America,N,N,3.56pm0.44,2,1
Acer platanoides,N,Europe,Europe,N,N,4.2pm0.37,2.73pm0.16,1.46pm0.23
Acer pseudoplatanus,N,Europe,Europe,N,N,3.73pm0.21,2.75pm0.16,1.1pm0.08
Acer rubrum,N,North America,North America,N,N,3.44pm0.23,1.84pm0.16,3.08pm0.28
Acer saccharinum,N,North America,North America,N,N,3.6pm0.31,2.88pm0.12,3.37pm0.22
Acer saccharum,N,North America,North America,N,N,4.76pm0.11,2.25pm0.25,1.09pm0.08
Acer spicatum,N,North America,North America,N,N,3.31pm0.19,2,2
Acer tataricum,N,Europe,Europe,N,N,3.48,3.37pm0.32,1.47pm0.06
Acer truncatum,N,East Asia,East Asia,N,N,3,2.75,1.53
Aesculus californica,N,North America,North America,N,N,2.5pm0.5,2.88pm0.12,1.77pm0.23
Aesculus flava,N,North America,North America,N,N,4.14pm0.14,2,1.12pm0.12
Aesculus glabra,N,North America,North America,N,N,3.49pm0.3,2.88pm0.12,1.27pm0.27
Aesculus hippocastanum,N,Europe,Europe,N,N,3.43pm0.27,2.82pm0.15,1.39pm0.17
Aesculus pavia,N,North America,North America,N,N,4,2pm0,2
Aesculus sylvatica,N,North America,North America,N,N,3.56pm0.44,2,2
Aesculus turbinata,N,East Asia,East Asia,N,N,3.5pm0.29,2.17pm0.17,3pm0
Aesculus cross carnea (A. hippocastaneum cross A. pavia),N,North America,Europe,N,N,3,2.75,1.53
Ailanthus altissima,N,East Asia,East Asia,N,N,2.44pm0.44,2.96pm0.12,1.52pm0.27
Alangium platanifolium,N,East Asia,East Asia,N,N,3.09pm0.42,2.5pm0.5,1.5pm0.5
Albizia julibrissin,N,East Asia,East Asia,N,N,1.17pm0.17,4.47pm0.47,1.52pm0.48
Alnus formosana,N,East Asia,East Asia,N,N,2.5,2.5,2.5
Alnus glutinosa,N,Europe,Europe,N,N,2.71pm0.5,2.22pm0.66,3.9pm0.2
Alnus hirsuta,N,East Asia,East Asia,N,N,1.25pm0.25,2.5pm0.5,2.67pm0.33
Alnus incana,N,Europe,Europe,N,N,2.3pm0.25,1.89pm0.29,2.84pm0.34
Alnus incana ssp. rugosa,N,North America,North America,N,N,1,2,2.85pm0.25
Alnus incana ssp. tenuifolia,N,North America,North America,N,N,1.59pm0.59,2.03pm0.03,3.18pm0.18
Alnus japonica,N,East Asia,East Asia,N,N,1.5pm0.5,2,4pm0
Alnus maximowiczii,N,East Asia,East Asia,N,N,1pm0,2,3
Alnus metoporina,N,North America,North America,N,N,1,2,3
Alnus oblongifolia,N,North America,North America,N,N,1,1,3
Alnus pendula,N,East Asia,East Asia,N,N,1.42pm0.09,2,3
Alnus rhombifolia,N,North America,North America,N,N,1.5,1,3.5
Alnus rubra,N,North America,North America,N,N,1.83pm0.21,2.5,2.56pm0.72
Alnus sieboldiana,N,East Asia,East Asia,N,N,1.5pm0.5,1.75pm0.25,3pm0
Alnus viridis,N,Europe,Europe,N,N,1.84pm0.09,2.48pm0.27,2.66pm0.52
Alnus viridis ssp. sinuata,N,North America,North America,N,N,1.5,2,3
Amelanchier alnifolia,N,North America,North America,N,N,3pm0,2.88pm0.12,1.02pm0.02
Amelanchier arborea,N,North America,North America,N,N,4.33pm0.33,2.38pm0.38,3.5pm0.5
Amelanchier canadensis,N,North America,North America,N,N,2.86pm0.14,2.52pm0.52,1.39pm0.39
Amelanchier laevis,N,North America,North America,N,N,3.06pm0.06,3,3
Amelanchier ovalis,N,Europe,Europe,N,N,1.93,4.72,2.5
Amelanchier utahensis,N,North America,North America,N,N,2.5pm0.5,4.47pm0.47,1.02pm0.02
Andromeda polifolia,N,Europe,North America,Y,N,1.2,0.53,4.27
Aralia elata,N,East Asia,East Asia,N,N,1.67pm0.17,3,1
Aralia spinosa,N,North America,North America,N,N,1.25pm0.25,4,2
Arbutus menziesii,N,North America,North America,Y,N,3.32pm0.34,3.83pm0.17,1
Arbutus unedo,N,Europe,Europe,Y,N,2.66,3.9,1.04
Arctostaphylos alpina,N,Europe,North America,Y,N,1.93pm0,2.62pm0.42,2.5
Arctostaphylos uva ursi,N,Europe,North America,Y,N,1.93pm0,3.88pm0.84,2.5
Ardisia sieboldii,N,East Asia,East Asia,Y,N,4,2,1.5
Asimina triloba,N,North America,North America,N,N,3.95pm0.05,2,1.37pm0.13
Aucuba japonica,N,East Asia,East Asia,Y,N,4.5pm0,3,1.5pm0.5
Berberis amurensis,N,East Asia,East Asia,N,N,1.75pm0.25,3,1.75pm0.25
Berberis thunbergii,N,East Asia,East Asia,N,N,1.5,3.5,1.5pm0.5
Berberis vulgaris,N,Europe,Europe,N,N,1.93,3.88,1.32pm0.28
Betula alleghaniensis,N,North America,North America,N,N,3.17pm0.16,3,2
Betula apoiensis,N,East Asia,East Asia,N,N,1pm0,2,2
Betula ermanii,N,East Asia,East Asia,N,N,1.25pm0.25,2,1.75pm0.25
Betula grossa,N,East Asia,East Asia,N,N,1.5,2,1.5
Betula humilis,N,Europe,Europe,N,N,1.93,0.53,4.27
Betula lenta,N,North America,North America,N,N,2.58pm0.28,3,1
Betula maximowicziana,N,East Asia,East Asia,N,N,1.25pm0.25,1.57,1.25pm0.25
Betula nana,N,Europe,North America,N,N,1.56pm0.19,0.11pm0.42,4.27
Betula nigra,N,North America,North America,N,N,1.45pm0.1,1.53pm0.2,2.85pm0.35
Betula occidentalis,N,North America,North America,N,N,3.28pm0.55,1.27pm0.27,2.63pm0.37
Betula papyrifera,N,North America,North America,N,N,1.54pm0.16,2.02pm0.3,1.25pm0.15
Betula pendula,N,Europe,Europe,N,N,2.03pm0.09,1.85pm0.21,1.67pm0.12
Betula platyphylla,N,East Asia,East Asia,N,N,1.25pm0.25,2.5,1.83pm0.17
Betula populifolia,N,North America,North America,N,N,1.5pm0.5,2.34pm0.22,1
Betula pubescens,N,Europe,Europe,N,N,1.85pm0.07,1.27pm0.18,2.98pm0.21
Betula pubescens ssp. carpatica,N,Europe,Europe,N,N,1.2,2.21,1.04
Broussonetia kazinoki,N,East Asia,East Asia,N,N,1.5,4,1.5
Buddleja davidii,N,East Asia,East Asia,N,N,1.56pm0.19,3.46pm0.42,1.04
Buxus sempervirens,N,Europe,Europe,Y,N,4.05pm0.13,3.88pm0,1.04
Calluna vulgaris,N,Europe,Europe,Y,N,1.56pm0.19,2.21,3.19
Calocedrus decurrens,N,North America,North America,Y,Y,3.21pm0.53,3.79pm0.11,1.27pm0.27
Camellia japonica,N,East Asia,East Asia,Y,N,4pm0.29,2,1pm0
Caragana arborescens,N,East Asia,East Asia,N,N,1.5,4,1
Caragana frutex,N,Europe,Europe,N,N,1.5,2.5,1
Carpinus betulus,N,Europe,Europe,N,N,3.97pm0.12,2.66pm0.16,1.65pm0.06
Carpinus caroliniana,N,North America,North America,N,N,4.58pm0.21,2.02pm0.02,2.3pm0.5
Carpinus cordata,N,East Asia,East Asia,N,N,3.5pm0,2,2.5pm0.5
Carpinus laxiflora,N,East Asia,East Asia,N,N,3pm0.29,2,2
Carpinus tschonoskii,N,East Asia,East Asia,N,N,2.83pm0.44,3,1.5
Carya aquatica,N,North America,North America,N,N,2.95,2pm0,4.25pm0.22
Carya cordiformis,N,North America,North America,N,N,2.07pm0.07,4,2.5pm0.5
Carya glabra,N,North America,North America,N,N,2.69pm0.35,4pm0,1.16pm0.08
Carya illinoiensis,N,North America,North America,N,N,1.74pm0.26,2,2.98pm0.45
Carya laciniosa,N,North America,North America,N,N,4.42,2,1.48pm0.36
Carya myristiciformis,N,North America,North America,N,N,3.71pm0.71,2,2
Carya ovata,N,North America,North America,N,N,3.4pm0.29,3,1.38pm0.08
Carya pallida,N,North America,North America,N,N,1.56,4,1
Carya tomentosa,N,North America,North America,N,N,2.2pm0.48,3,1.26pm0.11
Castanea crenata,N,East Asia,East Asia,N,N,3,2.5,1
Castanea dentata,N,North America,North America,N,N,3.06pm0.06,3,1
Castanea mollissima,N,East Asia,East Asia,N,N,1.67pm0.33,2.63pm0.13,1.27pm0.27
Castanea pumila,N,North America,North America,N,N,2.5,4,1
Castanea sativa,N,Europe,Europe,N,N,3.15pm0.23,3.46pm0.18,1.32pm0.28
Castanopsis cuspidata,N,East Asia,East Asia,Y,N,4.07pm0.23,2.5pm0.5,2
Castanopsis eyrei,N,East Asia,East Asia,Y,N,3,3,1.5
Castanopsis lamontii,N,East Asia,East Asia,Y,N,4,2,2
Castanopsis sieboldii,N,East Asia,East Asia,Y,N,4pm0.29,3,2
Catalpa bignonioides,N,North America,North America,N,N,2.67pm0.33,2.58pm0.3,1.27pm0.27
Catalpa speciosa,N,North America,North America,N,N,2.33pm0.33,4.22pm0.35,1.27pm0.27
Cedrus deodara,N,East Asia,East Asia,Y,Y,2.59pm0.41,3.85pm0.15,1.02pm0.02
Cedrus libani,N,Europe,Europe,Y,Y,1.35,2.75,1.03
Celtis laevigata,N,North America,North America,N,N,3.31pm0.58,3.56pm0.3,2.73pm0.27
Celtis occidentalis,N,North America,North America,N,N,3.17pm0.17,3.85pm0.15,2.65pm0.16
Celtis tenuifolia,N,North America,North America,N,N,1.56,4,1
Cephalanthus occidentalis,N,North America,North America,N,N,2.75pm1.25,3,4.92pm0.08
Cercidiphyllum japonicum,N,East Asia,East Asia,N,N,2.34pm0.34,1.53,2.14pm0.37
Cercis canadensis,N,North America,North America,N,N,3pm0,4.05pm0.4,1.31pm0.09
Cercis occidentalis,N,North America,North America,N,N,2.09pm0.09,3.35pm0.35,1.03
Cercocarpus ledifolius,N,North America,North America,Y,N,1.35,4.97pm0.03,1.27pm0.27
Chamaecyparis lawsoniana,N,North America,North America,Y,Y,3.67pm0.38,2.06pm0.58,1.02pm0.02
Chamaecyparis nootkatensis,N,North America,North America,Y,Y,4.15pm0.32,2,1.9pm0.1
Chamaecyparis obtusa,N,East Asia,East Asia,Y,Y,4.38pm0.13,2.88pm0.13,1.52pm0.49
Chamaecyparis thyoides,N,North America,North America,Y,Y,3.5pm0.18,1pm0,4.04pm0.54
Chamaecytisus ratisbonensis,N,Europe,Europe,N,N,2.66,3.88,1.04
Chamaecytisus supinus,N,Europe,Europe,N,N,1.93,4.72,1.04
Chamaedaphne calyculata,N,Europe,North America,Y,N,1.93,0.53,4.27
Chamaespartium sagittale,N,Europe,Europe,N,N,1.2,3.88,1.04
Chilopsis linearis,N,North America,North America,N,N,1.67pm0.33,3.85pm0.15,1.27pm0.27
Chimaphila umbellata,N,Europe,North America,Y,N,3.38,3.88,1.77
Chionanthus virginicus,N,North America,North America,N,N,3.83pm0.83,2.42pm0.22,1.51pm0.29
Chrysoplepis chrysophylla,N,North America,North America,Y,N,3,4,1
Cinnamomum camphora,N,East Asia,East Asia,Y,N,3.5pm0.29,2.75pm0.25,1.5
Citrus limon,N,East Asia,East Asia,Y,N,2,3,1
Citrus sinensis,N,East Asia,East Asia,Y,N,2,4,1
Citrus cross paradisi (C. maxima cross C. sinensis),N,East Asia,East Asia,Y,N,2,3,1
Cladrastis lutea,N,North America,North America,N,N,3,2.88pm0.12,1.02pm0.02
Clematis alpina,N,Europe,Europe,N,N,3.38,3.04,1.04
Clerodendrum trichotomum,N,East Asia,East Asia,N,N,1.33pm0.33,3,2
Clethra alnifolia,N,North America,North America,N,N,3,2,3.5pm0.5
Clethra barbinervis,N,East Asia,East Asia,N,N,2,2.75pm0.75,2.75pm0.25
Cleyera japonica,N,East Asia,East Asia,Y,N,3.5pm0.29,2,1.75pm0.25
Colutea arborescens,N,Europe,Europe,N,N,3.38,3.88,1.02pm0.02
Cornus alternifolia,N,North America,North America,N,N,4,1.77pm0.23,1.02pm0.02
Cornus amomum,N,North America,North America,N,N,3,2,3pm0
Cornus controversa,N,East Asia,East Asia,N,N,2pm0.5,2.5pm0.5,2pm0
Cornus florida,N,North America,North America,N,N,4.87pm0.12,2.92pm0.08,1.1pm0.06
Cornus kousa,N,East Asia,East Asia,N,N,3,1.53,1.03
Cornus mas,N,Europe,Europe,N,N,2.68pm0.33,3.17pm0.42,1.77pm0
Cornus nuttallii,N,North America,North America,N,N,4.5,2,1
Cornus racemosa,N,North America,North America,N,N,4,3,1.5pm0.5
Cornus sanguinea,N,Europe,Europe,N,N,1.93,3.04,1.88pm0.11
Cornus sericea,N,North America,North America,N,N,2.86pm0.14,2.48pm0.27,2.12pm0.15
Coronilla emerus,N,Europe,Europe,N,N,1.93,4.72,1.04
Corylus americana,N,North America,North America,N,N,3.5pm0.5,2.88pm0.12,1.27pm0.27
Corylus avellana,N,Europe,Europe,N,N,3.53pm0.23,3.04,1.68pm0.09
Corylus colurna,N,Europe,Europe,N,N,1.35,3.13pm0.37,1.53
Corylus cornuta,N,North America,North America,N,N,3,2.88pm0.12,1.27pm0.27
Corylus heterophylla,N,East Asia,East Asia,N,N,3.5pm0.5,2.75pm0.25,1.75pm0.25
Corylus sieboldiana,N,East Asia,East Asia,N,N,3.5pm0.5,2.5pm0.5,2pm0
Cotinus coggygria,N,Europe,Europe,N,N,1.93,3.74pm0.14,1.04pm0
Cotinus obovatus,N,North America,North America,N,N,3,3.69,1.03
Cotoneaster bullatus,N,East Asia,East Asia,N,N,1.93,3.88,1.04
Cotoneaster horizontalis,N,East Asia,East Asia,N,N,3.38,3.46,1.04
Cotoneaster integerrimus,N,Europe,Europe,N,N,1.2pm0,3.46pm0,1.04
Cotoneaster integrifolius,N,Europe,Europe,N,N,1.93,3.46,1.04
Cotoneaster simonsii,N,East Asia,East Asia,Y,N,2.66,3.04,1.04
Cotoneaster tomentosus,N,Europe,Europe,N,N,1.93,3.46,1.04
Cowania mexicana,N,North America,North America,Y,N,1.35,4.95,1.03
Crataegus chlorosarca,N,East Asia,East Asia,N,N,1.5,3,1
Crataegus crus galli,N,North America,North America,N,N,1.67pm0.33,4.98pm0.02,1.27pm0.27
Crataegus laevigata agg.,Y,Europe,Europe,N,N,2.45pm0.28,2.9pm0.15,1.1pm0.08
Crataegus maximowiczii,N,East Asia,East Asia,N,N,2,3,1
Crataegus monogyna agg.,Y,Europe,Europe,N,N,1.93pm0,3.46pm0.42,1.68pm0.09
Crataegus phaenopyrum,N,North America,North America,N,N,2.59pm0.41,2.88pm0.12,1.27pm0.27
Crataegus viridis,N,North America,North America,N,N,1.67pm0.33,3.85pm0.15,2.13pm0.13
Crataegus cross lavallei (C. stipulacea cross C. crus galli),N,North America,Europe,N,N,3.25pm0.25,3.69,1.27pm0.27
Cryptomeria japonica,N,East Asia,East Asia,Y,Y,3.17pm0.44,2.75pm0.25,2pm1
Cupressus arizonica,N,North America,North America,Y,Y,1.42pm0.08,4.47pm0.47,1.02pm0.02
Cupressus sempervirens,N,Europe,Europe,Y,Y,1.35,4.95,1.03
Cydonia oblonga,N,Europe,Europe,N,N,1.2,3.88,1.77
Cytisus scoparius,N,Europe,Europe,Y,N,1.2pm0,3.46pm0.42,1.04
Daboecia cantabrica,N,Europe,Europe,Y,N,1.2,3.04,3.19
Daphne alpina,N,Europe,Europe,N,N,1.2,3.88,1.04
Daphne cneorum,N,Europe,Europe,Y,N,2.66,3.88,1.77
Daphne kamtschatica,N,East Asia,East Asia,N,N,4.17pm0.44,2,1
Daphne laureola,N,Europe,Europe,Y,N,2.66pm0,3.46pm0.42,1.04
Daphne mezereum,N,Europe,Europe,N,N,4.11pm0,3.04pm0,1.04
Daphne striata,N,Europe,Europe,Y,N,1.93,3.88,1.04
Daphniphyllum macropodum,N,East Asia,East Asia,Y,N,3.5pm0.29,2.5pm0.5,2.5pm0.5
Diospyros virginiana,N,North America,North America,N,N,4.21pm0.21,1.5pm0.5,2.6pm0.21
Distylium racemosum,N,East Asia,East Asia,Y,N,4.25pm0.25,2,1.6pm0.4
Dorycnium germanicum,N,Europe,Europe,N,N,1.93,4.72,1.04
Dryas octopetala,N,Europe,North America,Y,N,1.02pm0.09,3.88pm0,2.5
Elaeagnus angustifolia,N,Europe,Europe,N,N,1.35,4.47pm0.47,1.52pm0.48
Empetrum hermaphroditum,N,Europe,North America,Y,N,1.2,2.21,3.91
Empetrum nigrum,N,Europe,North America,Y,N,1.93pm0,2.21pm0,3.91
Erica ciliaris,N,Europe,Europe,Y,N,1.2,1.37,3.91
Erica cinerea,N,Europe,Europe,Y,N,1.93pm0,3.04pm0,1.77
Erica erigena,N,Europe,Europe,Y,N,1.2,0.53,2.83
Erica mackaiana,N,Europe,Europe,Y,N,1.2,0.53,3.19
Erica tetralix,N,Europe,Europe,Y,N,1.2pm0,0.53pm0,3.19
Erica vagans,N,Europe,Europe,Y,N,1.2,2.21,2.83
Eriobotrya japonica,N,East Asia,East Asia,Y,N,3.33pm0.33,3.35pm0.35,2.27
Euonymus alatus,N,East Asia,East Asia,N,N,4.33pm0.33,2,2
Euonymus americanus,N,North America,North America,N,N,4,2.5,2
Euonymus europaeus,N,Europe,Europe,N,N,3.02pm0.19,3.04pm0,2.11
Euonymus latifolius,N,Europe,Europe,N,N,4.11,3.04,1.77
Euonymus oxyphyllus,N,East Asia,East Asia,N,N,3.67pm0.67,3,2
Euonymus sieboldianus,N,East Asia,East Asia,N,N,2.75pm0.25,3,2.5pm0.5
Euonymus verrucosus,N,Europe,Europe,N,N,3.38,3.04,1.77
Eurya japonica,N,East Asia,East Asia,Y,N,3.83pm0.17,2.5pm0.5,1.5
Fagus crenata,N,East Asia,East Asia,N,N,5pm0,1.75,1.75pm0.25
Fagus engleriana,N,East Asia,East Asia,N,N,4.5,1,1.2
Fagus grandifolia,N,North America,North America,N,N,4.75pm0.14,1.5pm0.32,1.5pm0.06
Fagus hayatae,N,East Asia,East Asia,N,N,4.5,1.5,1
Fagus japonica,N,East Asia,East Asia,N,N,4.5,2,1.5pm0.5
Fagus longipetiolata,N,East Asia,East Asia,N,N,4.5,1.5,1.2
Fagus lucida,N,East Asia,East Asia,N,N,4,1,1.2
Fagus orientalis,N,Europe,Europe,N,N,4.2,2.7,1
Fagus sylvatica,N,Europe,Europe,N,N,4.56pm0.11,2.4pm0.43,1.02pm0.01
Forestiera acuminata,N,North America,North America,N,N,1.5,2,4.89pm0.11
Frangula alnus,N,Europe,Europe,N,N,2.66pm0,1.37pm0,3.19pm0
Fraxinus americana,N,North America,North America,N,N,2.46pm0.21,2.38pm0.38,2.59pm0.18
Fraxinus anomala,N,North America,North America,N,N,1.17pm0.17,2.88pm0.12,1.27pm0.27
Fraxinus caroliniana,N,North America,North America,N,N,3.5,2pm0,5pm0
Fraxinus excelsior,N,Europe,Europe,N,N,2.66pm0.13,2.5pm0.25,2.7pm0.3
Fraxinus lanuginosa,N,East Asia,East Asia,N,N,3.25pm0.25,2.5pm0.5,2
Fraxinus latifolia,N,North America,North America,N,N,3,2,3
Fraxinus mandshurica,N,East Asia,East Asia,N,N,2.75pm0.75,1.75pm0.25,3.25pm0.25
Fraxinus nigra,N,North America,North America,N,N,2.96pm0.43,2,3.5
Fraxinus ornus,N,Europe,Europe,N,N,3.02pm0.38,4.31pm0.41,2.5
Fraxinus pennsylvanica,N,North America,North America,N,N,3.11pm0.11,3.85pm0.15,2.98pm0.25
Fraxinus platypoda,N,East Asia,East Asia,N,N,3,2,3
Fraxinus profunda,N,North America,North America,N,N,3,2,5pm0
Fraxinus quadrangulata,N,North America,North America,N,N,1.84pm0.34,2.75,1.53
Fraxinus velutina,N,North America,North America,N,N,2.5pm0.5,3.35pm0.35,1.77pm0.23
Fumana procumbens,N,Europe,Europe,Y,N,1.2,4.72,1.04
