"","center_tree_number","Park","Transect","mstrlvl","plotmstr","mean_percent_cover","mean_density_short","mean_density_tall","mean_density_seedlings","total_number_short","total_number_tall","total_number_seedlings"
"1",1,"Kensington","A","xeric",1,6.5,0.593471810089021,1.03857566765579,1.63204747774481,8,14,22
"2",2,"Kensington","A","xeric",1,3.75,0.0741839762611276,0.29673590504451,0.370919881305638,1,4,5
"3",3,"Kensington","A","xeric",1,0,0,0,0,0,0,0
"4",5,"Hudson Mills","AA","mesic",3,1.75,0,0.123152709359606,0.123152709359606,0,2,2
"5",7,"Kensington","B","xeric",1,4.875,0.677339901477833,0.369458128078818,1.04679802955665,11,6,17
"6",8,"Kensington","B","xeric",1,1.75,0.307881773399015,0.246305418719212,0.554187192118227,5,4,9
"7",9,"Kensington","B","xeric",1,2,0.246305418719212,0.123152709359606,0.369458128078818,4,2,6
"8",10,"Hudson Mills","BB","xeric",2,13.625,0.123152709359606,0.61576354679803,0.738916256157636,2,10,12
"9",11,"Hudson Mills","BB","xeric",2,23,0.123152709359606,1.04679802955665,1.16995073891626,2,17,19
"10",12,"Hudson Mills","BB","xeric",1,0.875,0,0.061576354679803,0.061576354679803,0,1,1
"11",13,"Kensington","C","xeric",1,5.75,1.10837438423645,0.492610837438424,1.60098522167488,18,8,26
"12",14,"Kensington","C","xeric",1,21.125,1.72413793103448,1.53940886699507,3.26354679802956,28,25,53
"13",15,"Kensington","C","xeric",1,3.75,0.246305418719212,0.184729064039409,0.431034482758621,4,3,7
"14",16,"Island Lake","CC","mesic",2,8.75,0.923645320197044,0.738916256157636,1.66256157635468,15,12,27
"15",17,"Island Lake","CC","mesic",3,3,0.061576354679803,0.246305418719212,0.307881773399015,1,4,5
"16",18,"Island Lake","CC","mesic",4,5.875,0,0.492610837438424,0.492610837438424,0,8,8
"17",19,"Kensington","D","xeric",1,2.5,0.554187192118227,0.307881773399015,0.862068965517242,9,5,14
"18",20,"Kensington","D","xeric",1,0.625,0.123152709359606,0.061576354679803,0.184729064039409,2,1,3
"19",21,"Kensington","D","xeric",1,0,0,0,0,0,0,0
"20",22,"Island Lake","DD","hydric",4,4.75,0,0.123152709359606,0.123152709359606,0,2,2
"21",24,"Island Lake","DD","hydric",4,0,0,0,0,0,0,0
"22",25,"Proud Lake","E","xeric",3,5,0.123152709359606,0.246305418719212,0.369458128078818,2,4,6
"23",26,"Proud Lake","E","xeric",1,19.6666666666667,1.10837438423645,0.677339901477833,1.78571428571429,18,11,29
"24",27,"Proud Lake","E","xeric",1,17,1.35467980295567,0.923645320197044,2.27832512315271,22,15,37
"25",28,"Highland","EE","xeric",3,1,0.492610837438424,0.123152709359606,0.61576354679803,8,2,10
"26",29,"Highland","EE","xeric",1,4.25,0.492610837438424,0.431034482758621,0.923645320197044,8,7,15
"27",30,"Highland","EE","xeric",1,14.25,1.29310344827586,0.862068965517241,2.1551724137931,21,14,35
"28",31,"Proud Lake","F","xeric",1,6.25,0.554187192118227,0.800492610837439,1.35467980295567,9,13,22
"29",32,"Proud Lake","F","xeric",2,1.125,0.184729064039409,0.061576354679803,0.246305418719212,3,1,4
"30",33,"Proud Lake","F","xeric",1,5.125,0.246305418719212,0.554187192118227,0.800492610837439,4,9,13
"31",34,"Proud Lake","G","xeric",1,10.5,0.061576354679803,0.307881773399015,0.369458128078818,1,5,6
"32",35,"Proud Lake","G","xeric",1,0.375,0.123152709359606,0.061576354679803,0.184729064039409,2,1,3
"33",36,"Proud Lake","G","xeric",1,1.375,0.061576354679803,0.123152709359606,0.184729064039409,1,2,3
"34",37,"Proud Lake","H","hydric",5,0,0,0,0,0,0,0
"35",38,"Proud Lake","H","hydric",5,0,0,0,0,0,0,0
"36",39,"Proud Lake","H","hydric",5,0.875,0,0.061576354679803,0.061576354679803,0,1,1
"37",40,"Kensington","I","hydric",5,0,0,0,0,0,0,0
"38",41,"Kensington","I","hydric",4,0,0,0,0,0,0,0
"39",42,"Kensington","I","hydric",5,0,0,0,0,0,0,0
"40",43,"Kensington","J","hydric",5,0.25,0,0.061576354679803,0.061576354679803,0,1,1
"41",44,"Kensington","J","hydric",5,0.875,0,0.061576354679803,0.061576354679803,0,1,1
"42",45,"Kensington","J","hydric",5,0,0,0,0,0,0,0
"43",49,"Pontiac Lake","L","xeric",2,29.25,5.71216617210682,2.52225519287834,8.23442136498516,77,34,111
"44",50,"Pontiac Lake","L","xeric",2,12.625,1.18694362017804,1.48367952522255,2.67062314540059,16,20,36
"45",51,"Pontiac Lake","L","xeric",2,11.25,3.01724137931035,1.29310344827586,4.31034482758621,49,21,70
"46",52,"Pontiac Lake","M","mesic",3,38,3.87931034482759,2.70935960591133,6.58866995073892,63,44,107
"47",53,"Pontiac Lake","M","mesic",1,12,1.40949554896142,1.85459940652819,3.26409495548961,19,25,44
"48",54,"Pontiac Lake","M","mesic",3,27.5,4.67980295566502,1.10837438423645,5.78817733990148,76,18,94
"49",55,"Pontiac Lake","N","xeric",2,12.5,1.97044334975369,1.41625615763547,3.38669950738916,32,23,55
"50",56,"Pontiac Lake","N","xeric",2,38,3.01724137931035,1.90886699507389,4.92610837438424,49,31,80
"51",57,"Pontiac Lake","N","xeric",2,43.625,3.14039408866995,2.77093596059113,5.91133004926108,51,45,96
"52",58,"Pontiac Lake","O","xeric",1,33,3.20197044334975,1.84729064039409,5.04926108374384,52,30,82
"53",59,"Pontiac Lake","O","xeric",1,2.25,0.61576354679803,0.184729064039409,0.800492610837439,10,3,13
"54",60,"Pontiac Lake","O","xeric",1,48.8333333333333,5.84975369458128,2.83251231527094,8.68226600985222,95,46,141
"55",62,"Island Lake","P","hydric",4,2.875,0,0.246305418719212,0.246305418719212,0,4,4
"56",63,"Island Lake","P","hydric",4,2,0,0.307881773399015,0.307881773399015,0,5,5
"57",64,"Island Lake","Q","hydric",4,20,0.554187192118227,0.923645320197044,1.47783251231527,9,15,24
"58",65,"Island Lake","Q","hydric",3,3.875,0.369458128078818,0.246305418719212,0.61576354679803,6,4,10
"59",67,"Indian Springs","R","mesic",2,0.125,0.061576354679803,0,0.061576354679803,1,0,1
"60",68,"Indian Springs","R","mesic",3,21.125,0.554187192118227,1.72413793103448,2.27832512315271,9,28,37
"61",69,"Indian Springs","R","mesic",2,21.25,1.35467980295567,2.70935960591133,4.064039408867,22,44,66
"62",70,"Indian Springs","S","hydric",3,17.5,2.40147783251232,1.60098522167488,4.00246305418719,39,26,65
"63",71,"Indian Springs","S","hydric",4,11.125,0.246305418719212,0.923645320197044,1.16995073891626,4,15,19
"64",72,"Indian Springs","S","hydric",4,5.125,0.184729064039409,0.61576354679803,0.800492610837439,3,10,13
"65",73,"Indian Springs","T","xeric",2,4.875,1.04679802955665,0.369458128078818,1.41625615763547,17,6,23
"66",74,"Indian Springs","T","xeric",3,4.125,0.061576354679803,0.307881773399015,0.369458128078818,1,5,6
"67",75,"Indian Springs","T","xeric",2,1.125,0.431034482758621,0,0.431034482758621,7,0,7
"68",76,"Indian Springs","U","hydric",4,0.875,0,0.061576354679803,0.061576354679803,0,1,1
"69",77,"Indian Springs","U","hydric",4,0,0,0,0,0,0,0
"70",78,"Indian Springs","U","hydric",4,6.375,0.246305418719212,0.492610837438424,0.738916256157636,4,8,12
"71",79,"Indian Springs","V","mesic",3,51.625,2.52463054187192,5.48029556650246,8.00492610837438,41,89,130
"72",80,"Indian Springs","V","mesic",2,14.25,3.20197044334975,1.10837438423645,4.31034482758621,52,18,70
"73",81,"Indian Springs","V","mesic",2,8,2.33990147783251,0.738916256157636,3.07881773399015,38,12,50
"74",82,"Highland","W","xeric",2,1.125,0.123152709359606,0.123152709359606,0.246305418719212,2,2,4
"75",83,"Highland","W","xeric",2,1.375,0.123152709359606,0.184729064039409,0.307881773399015,2,3,5
"76",84,"Highland","W","xeric",2,0.375,0.123152709359606,0,0.123152709359606,2,0,2
"77",85,"Highland","X","mesic",1,19.375,2.33990147783251,0.800492610837439,3.14039408866995,38,13,51
"78",86,"Highland","X","mesic",3,40.5,4.31034482758621,2.89408866995074,7.20443349753695,70,47,117
"79",87,"Highland","X","mesic",3,28,4.00246305418719,1.72413793103448,5.72660098522168,65,28,93
"80",88,"Highland","Y","xeric",1,17.375,2.0935960591133,1.47783251231527,3.57142857142857,34,24,58
"81",89,"Highland","Y","xeric",1,1.125,0,0.246305418719212,0.246305418719212,0,4,4
"82",90,"Highland","Y","xeric",1,1.375,0.123152709359606,0.184729064039409,0.307881773399015,2,3,5
"83",91,"Hudson Mills","Z","xeric",2,8.75,0.307881773399015,0.492610837438424,0.800492610837439,5,8,13
"84",94,"Pontiac Lake","ZA","xeric",2,18.75,1.18694362017804,2.59643916913947,3.78338278931751,16,35,51
"85",95,"Pontiac Lake","ZA","xeric",2,23,3.04154302670623,2.22551928783383,5.26706231454006,41,30,71
"86",96,"Pontiac Lake","ZA","xeric",2,13.625,2.59643916913947,2.1513353115727,4.74777448071217,35,29,64
"87",97,"Pontiac Lake","ZB","mesic",3,18.125,2.29970326409496,3.11572700296736,5.41543026706231,31,42,73
"88",98,"Pontiac Lake","ZB","mesic",2,2.5,1.55786350148368,0.445103857566766,2.00296735905044,21,6,27
"89",99,"Pontiac Lake","ZB","mesic",2,6.625,0.222551928783383,0.222551928783383,0.445103857566766,3,3,6
"90",100,"Pontiac Lake","ZC","xeric",2,46.3333333333333,4.31034482758621,2.1551724137931,6.46551724137931,70,35,105
"91",101,"Pontiac Lake","ZC","xeric",1,26.875,0.862068965517241,1.47783251231527,2.33990147783251,14,24,38
"92",102,"Pontiac Lake","ZC","xeric",2,41.125,2.89408866995074,2.89408866995074,5.78817733990148,47,47,94
"93",109,"Indian Springs","ZF","mesic",2,0.25,0.184729064039409,0,0.184729064039409,3,0,3
"94",110,"Indian Springs","ZF","mesic",3,9.25,0.246305418719212,0.677339901477833,0.923645320197044,4,11,15
"95",111,"Indian Springs","ZF","mesic",2,13.125,2.0320197044335,1.29310344827586,3.32512315270936,33,21,54
"96",112,"Kensington","ZG","xeric",1,9.75,0.061576354679803,0.677339901477833,0.738916256157636,1,11,12
"97",113,"Kensington","ZG","xeric",1,5.875,0.061576354679803,0.369458128078818,0.431034482758621,1,6,7
"98",114,"Kensington","ZG","xeric",1,18.125,0.123152709359606,0.985221674876847,1.10837438423645,2,16,18
