trap_number,set_date,collection_date,Completed_sorting_y_n,Total_Hymenoptera,Symphyta,Chrysidoidea,Formicidae,Vespoidea_except_Formicidae,Pompilloidea,Apoidea,Ichneumonoidea_Ichneumonidae,Ichneumonoidea_Braconidae,Cynipoidea,Proctotrupoidea,Ceraphronoidea,Total_Chalcidoidea,Chalcidoidea_Mymaridae,Chalcidoidea_Encyrtidae,Chalcidoidea_other,Platygastroidea,Hymenoptera_unknown,Total_arthropods_except_Hymenoptera,Diptera,Hemiptera,Lepidoptera,Coleoptera,Other_arthropods,Notes
101,06_04_2024,06_14_2024,n,14,0,0,0,NA,NA,0,0,0,NA,5,0,0,NA,NA,NA,NA,9,19,NA,NA,NA,NA,NA,
102,06_04_2024,06_14_2024,n,16,0,0,2,NA,NA,0,1,1,NA,1,0,1,NA,NA,NA,NA,9,15,NA,NA,NA,NA,NA,
103,06_04_2024,06_14_2024,n,12,1,0,0,NA,NA,0,2,0,NA,5,0,1,NA,NA,NA,NA,5,15,NA,NA,NA,NA,NA,
104,06_04_2024,06_14_2024,n,9,0,0,0,NA,NA,0,0,0,NA,0,0,0,NA,NA,NA,NA,0,20,NA,NA,NA,NA,NA,
105,06_04_2024,06_14_2024,n,14,0,0,0,NA,NA,0,0,0,NA,1,0,0,NA,NA,NA,NA,13,13,NA,NA,NA,NA,NA,
106,06_04_2024,06_14_2024,n,0,0,0,0,NA,NA,0,0,0,NA,0,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,
107,06_04_2024,06_14_2024,n,6,0,0,1,NA,NA,0,1,0,NA,0,0,0,NA,NA,NA,NA,4,6,NA,NA,NA,NA,NA,
108,06_04_2024,06_14_2024,n,1,0,0,0,NA,NA,0,0,0,NA,0,0,0,NA,NA,NA,NA,0,1,NA,NA,NA,NA,NA,
109,06_04_2024,06_14_2024,n,0,0,0,0,NA,NA,0,0,0,NA,0,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,
110,06_04_2024,06_14_2024,n,3,0,0,0,NA,NA,0,0,0,NA,0,0,0,NA,NA,NA,NA,3,2,NA,NA,NA,NA,NA,
111,06_04_2024,06_14_2024,n,23,0,0,0,NA,NA,0,4,0,NA,9,0,0,NA,NA,NA,NA,9,30,NA,NA,NA,NA,NA,
112,06_04_2024,06_14_2024,n,1,0,0,0,NA,NA,1,0,0,NA,0,0,1,NA,NA,NA,NA,0,2,NA,NA,NA,NA,NA,
113,06_04_2024,06_14_2024,n,8,0,0,0,NA,NA,0,0,0,NA,0,0,0,NA,NA,NA,NA,0,16,NA,NA,NA,NA,NA,
114,06_04_2024,06_14_2024,n,11,0,0,0,NA,NA,0,0,0,NA,0,0,0,NA,NA,NA,NA,0,15,NA,NA,NA,NA,NA,
115,06_04_2024,06_14_2024,n,11,0,0,0,NA,NA,0,0,1,NA,0,0,0,NA,NA,NA,NA,0,13,NA,NA,NA,NA,NA,Possible Spathius agrili
101,06_14_2024,06_21_2024,n,16,2,0,0,0,NA,0,3,1,NA,3,1,1,NA,NA,NA,NA,0,31,19,4,0,5,3,
102,06_14_2024,06_21_2024,n,11,0,0,1,0,NA,0,4,1,NA,2,0,1,NA,NA,NA,NA,2,28,11,10,1,4,1,
103,06_14_2024,06_21_2024,n,24,0,1,1,1,NA,0,3,0,NA,6,0,5,NA,NA,NA,NA,11,24,10,8,3,1,1,
104,06_14_2024,06_21_2024,n,18,0,0,0,0,NA,0,0,0,NA,0,0,1,NA,NA,NA,NA,17,43,14,18,1,8,2,
105,06_14_2024,06_21_2024,n,32,1,0,5,0,NA,0,1,1,NA,2,1,15,NA,NA,NA,NA,6,29,15,7,1,4,2,Found possibly a native Oobius
106,06_14_2024,06_21_2024,n,10,0,0,0,0,NA,0,1,1,NA,2,0,1,NA,NA,NA,NA,5,10,1,5,0,3,1,
107,06_14_2024,06_21_2024,n,10,1,0,2,0,NA,0,1,1,NA,1,0,2,NA,NA,NA,NA,0,17,6,6,0,5,1,
108,06_14_2024,06_21_2024,n,10,1,0,1,0,NA,0,1,0,NA,1,0,1,NA,NA,NA,NA,1,11,4,3,0,3,1,Unknown Hymenoptera is possibly Aulacidae
109,06_14_2024,06_21_2024,n,1,0,0,0,0,NA,0,0,0,NA,0,0,0,NA,NA,NA,NA,0,1,0,1,0,0,0,
110,06_14_2024,06_21_2024,n,11,1,0,0,0,NA,0,0,0,NA,4,1,1,NA,NA,NA,NA,4,25,14,3,2,7,0,
111,06_14_2024,06_21_2024,n,26,2,0,3,0,NA,0,2,1,NA,4,0,2,NA,NA,NA,NA,13,24,4,7,2,12,0,
112,06_14_2024,06_21_2024,n,73,2,0,2,0,NA,0,4,5,NA,2,0,7,NA,NA,NA,NA,51,62,24,20,1,16,1,Possible Spathius agrili or galinae AND possible Oobius agrili
113,06_14_2024,06_21_2024,n,12,1,0,0,0,NA,1,1,1,NA,0,0,0,NA,NA,NA,NA,8,23,6,5,4,8,0,
114,06_14_2024,06_21_2024,n,16,1,1,0,0,NA,0,0,3,NA,2,0,4,NA,NA,NA,NA,5,34,13,16,0,5,0,
115,06_14_2024,06_21_2024,n,12,0,0,2,0,NA,0,0,0,NA,0,0,4,NA,NA,NA,NA,6,18,8,6,0,2,2,
101,06_21_2024,06_27_2024,n,4,1,0,0,0,NA,0,0,1,NA,1,0,0,0,0,0,NA,1,7,2,2,0,2,1,
102,06_21_2024,06_27_2024,n,24,0,4,0,0,NA,0,2,3,NA,3,1,3,1,1,1,NA,8,27,8,11,0,6,2,
103,06_21_2024,06_27_2024,n,12,1,0,1,0,NA,0,1,1,NA,0,1,0,0,0,0,NA,7,30,14,9,0,7,0,
104,06_21_2024,06_27_2024,n,24,0,1,2,0,NA,0,4,3,NA,2,0,4,2,1,1,NA,8,43,13,11,2,17,0,
105,06_21_2024,06_27_2024,n,25,0,2,0,0,NA,0,2,2,NA,4,0,5,1,2,2,NA,10,32,16,9,3,4,0,
106,06_21_2024,06_27_2024,n,6,1,3,1,0,NA,0,0,0,NA,0,0,1,1,0,0,NA,0,21,7,11,0,3,0,
107,06_21_2024,06_27_2024,n,7,1,0,0,0,NA,0,0,0,NA,1,1,0,0,0,0,NA,4,9,4,3,0,2,0,
108,06_21_2024,06_27_2024,n,7,0,0,0,0,NA,0,0,3,NA,1,0,0,0,0,0,NA,3,28,7,19,2,0,0,
109,06_21_2024,06_27_2024,n,9,0,0,0,0,NA,0,4,0,NA,0,1,2,2,0,0,NA,2,14,6,7,0,0,1,
110,06_21_2024,06_27_2024,n,7,0,0,0,0,NA,0,0,1,NA,0,0,1,0,0,1,NA,5,24,6,13,0,3,2,
111,06_21_2024,06_27_2024,n,19,0,0,0,0,NA,0,3,3,NA,0,1,4,2,0,2,NA,8,47,20,20,1,4,2,
112,06_21_2024,06_27_2024,n,24,0,1,0,0,NA,0,4,2,NA,2,1,1,0,1,0,NA,13,74,30,22,0,20,2,
113,06_21_2024,06_27_2024,n,44,1,2,0,0,NA,0,6,0,NA,0,0,4,3,1,0,NA,31,46,16,17,0,12,1,
114,06_21_2024,06_27_2024,n,14,0,0,0,0,NA,0,1,1,NA,2,0,3,2,0,1,NA,7,19,5,10,0,4,0,
115,06_21_2024,06_27_2024,n,9,0,1,0,0,NA,0,1,1,NA,1,0,3,2,1,0,NA,2,21,10,8,0,0,3,
101,06_27_2024,07_03_2024,y,7,0,0,0,0,1,0,2,1,0,0,0,1,1,0,0,2,0,3,2,1,0,0,0,
102,06_27_2024,07_03_2024,y,22,0,7,1,0,0,0,2,2,0,1,1,4,1,1,2,4,0,9,4,3,1,0,1,
103,06_27_2024,07_03_2024,y,31,0,0,1,0,1,2,6,0,0,3,1,7,1,2,4,10,0,26,19,6,1,0,0,
104,06_27_2024,07_03_2024,y,24,0,2,2,0,0,0,3,1,1,2,0,9,5,1,3,4,0,63,31,25,2,3,2,
105,06_27_2024,07_03_2024,y,30,0,3,1,0,0,0,4,0,0,1,3,13,7,0,6,4,1,28,16,11,0,0,1,
106,06_27_2024,07_03_2024,y,11,0,1,0,0,0,0,2,1,0,1,0,3,2,0,1,3,0,16,3,8,2,2,1,
107,06_27_2024,07_03_2024,y,16,0,1,0,0,0,0,2,0,0,0,1,3,1,0,2,7,2,44,16,25,0,2,1,Possible Tetrastichus planipennisi
108,06_27_2024,07_03_2024,y,14,0,1,0,0,0,0,3,0,1,2,2,1,1,0,0,3,1,35,14,14,1,4,2,
109,06_27_2024,07_03_2024,y,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8,4,3,1,0,0,
110,06_27_2024,07_03_2024,y,12,0,0,0,0,1,2,0,1,0,0,2,4,3,1,0,1,1,13,4,5,2,0,2,
111,06_27_2024,07_03_2024,y,13,0,0,1,0,0,0,1,0,0,0,3,4,1,1,2,4,0,12,7,3,1,1,0,
112,06_27_2024,07_03_2024,y,21,0,0,0,0,0,0,4,0,0,0,1,5,3,1,1,10,1,17,4,11,0,2,0,
113,06_27_2024,07_03_2024,y,22,0,1,1,0,0,0,2,0,0,0,2,4,3,0,1,11,1,15,12,1,1,0,1,
114,06_27_2024,07_03_2024,y,19,0,1,0,0,0,0,0,1,1,3,2,2,1,0,1,9,0,18,7,6,2,1,2,
115,06_27_2024,07_03_2024,y,18,0,3,1,0,2,1,1,2,0,0,2,1,1,0,0,4,1,26,8,18,0,0,0,
101,07_03_2024,07_12_2024,,,,,,,,,,,,,,,,,,,,,,,,,,
102,07_03_2024,07_12_2024,,,,,,,,,,,,,,,,,,,,,,,,,,
103,07_03_2024,07_12_2024,,,,,,,,,,,,,,,,,,,,,,,,,,
104,07_03_2024,07_12_2024,,,,,,,,,,,,,,,,,,,,,,,,,,
105,07_03_2024,07_12_2024,,,,,,,,,,,,,,,,,,,,,,,,,,
106,07_03_2024,07_12_2024,,,,,,,,,,,,,,,,,,,,,,,,,,
107,07_03_2024,07_12_2024,,,,,,,,,,,,,,,,,,,,,,,,,,
108,07_03_2024,07_12_2024,,,,,,,,,,,,,,,,,,,,,,,,,,
109,07_03_2024,07_12_2024,,,,,,,,,,,,,,,,,,,,,,,,,,
110,07_03_2024,07_12_2024,,,,,,,,,,,,,,,,,,,,,,,,,,
111,07_03_2024,07_12_2024,,,,,,,,,,,,,,,,,,,,,,,,,,
112,07_03_2024,07_12_2024,,,,,,,,,,,,,,,,,,,,,,,,,,
113,07_03_2024,07_12_2024,,,,,,,,,,,,,,,,,,,,,,,,,,
114,07_03_2024,07_12_2024,,,,,,,,,,,,,,,,,,,,,,,,,,
115,07_03_2024,07_12_2024,,,,,,,,,,,,,,,,,,,,,,,,,,
101,07_12_2024,07_18_2024,,,,,,,,,,,,,,,,,,,,,,,,,,
102,07_12_2024,07_18_2024,,,,,,,,,,,,,,,,,,,,,,,,,,
103,07_12_2024,07_18_2024,,,,,,,,,,,,,,,,,,,,,,,,,,
104,07_12_2024,07_18_2024,,,,,,,,,,,,,,,,,,,,,,,,,,
105,07_12_2024,07_18_2024,,,,,,,,,,,,,,,,,,,,,,,,,,
106,07_12_2024,07_18_2024,,,,,,,,,,,,,,,,,,,,,,,,,,
107,07_12_2024,07_18_2024,,,,,,,,,,,,,,,,,,,,,,,,,,
108,07_12_2024,07_18_2024,,,,,,,,,,,,,,,,,,,,,,,,,,
109,07_12_2024,07_18_2024,,,,,,,,,,,,,,,,,,,,,,,,,,
110,07_12_2024,07_18_2024,,,,,,,,,,,,,,,,,,,,,,,,,,
111,07_12_2024,07_18_2024,,,,,,,,,,,,,,,,,,,,,,,,,,
112,07_12_2024,07_18_2024,,,,,,,,,,,,,,,,,,,,,,,,,,
113,07_12_2024,07_18_2024,,,,,,,,,,,,,,,,,,,,,,,,,,
114,07_12_2024,07_18_2024,,,,,,,,,,,,,,,,,,,,,,,,,,
115,07_12_2024,07_18_2024,,,,,,,,,,,,,,,,,,,,,,,,,,
101,07_18_2024,07_25_2024,,,,,,,,,,,,,,,,,,,,,,,,,,
102,07_18_2024,07_25_2024,,,,,,,,,,,,,,,,,,,,,,,,,,
103,07_18_2024,07_25_2024,,,,,,,,,,,,,,,,,,,,,,,,,,
104,07_18_2024,07_25_2024,,,,,,,,,,,,,,,,,,,,,,,,,,
105,07_18_2024,07_25_2024,,,,,,,,,,,,,,,,,,,,,,,,,,
106,07_18_2024,07_25_2024,,,,,,,,,,,,,,,,,,,,,,,,,,
107,07_18_2024,07_25_2024,,,,,,,,,,,,,,,,,,,,,,,,,,
108,07_18_2024,07_25_2024,,,,,,,,,,,,,,,,,,,,,,,,,,
109,07_18_2024,07_25_2024,,,,,,,,,,,,,,,,,,,,,,,,,,
110,07_18_2024,07_25_2024,,,,,,,,,,,,,,,,,,,,,,,,,,
111,07_18_2024,07_25_2024,,,,,,,,,,,,,,,,,,,,,,,,,,
112,07_18_2024,07_25_2024,,,,,,,,,,,,,,,,,,,,,,,,,,
113,07_18_2024,07_25_2024,,,,,,,,,,,,,,,,,,,,,,,,,,
114,07_18_2024,07_25_2024,,,,,,,,,,,,,,,,,,,,,,,,,,
115,07_18_2024,07_25_2024,,,,,,,,,,,,,,,,,,,,,,,,,,
101,07_25_2024,08_01_2024,,,,,,,,,,,,,,,,,,,,,,,,,,
102,07_25_2024,08_01_2024,,,,,,,,,,,,,,,,,,,,,,,,,,
103,07_25_2024,08_01_2024,,,,,,,,,,,,,,,,,,,,,,,,,,
104,07_25_2024,08_01_2024,,,,,,,,,,,,,,,,,,,,,,,,,,
105,07_25_2024,08_01_2024,,,,,,,,,,,,,,,,,,,,,,,,,,
106,07_25_2024,08_01_2024,,,,,,,,,,,,,,,,,,,,,,,,,,
107,07_25_2024,08_01_2024,,,,,,,,,,,,,,,,,,,,,,,,,,
108,07_25_2024,08_01_2024,,,,,,,,,,,,,,,,,,,,,,,,,,
109,07_25_2024,08_01_2024,,,,,,,,,,,,,,,,,,,,,,,,,,
110,07_25_2024,08_01_2024,,,,,,,,,,,,,,,,,,,,,,,,,,
111,07_25_2024,08_01_2024,,,,,,,,,,,,,,,,,,,,,,,,,,
112,07_25_2024,08_01_2024,,,,,,,,,,,,,,,,,,,,,,,,,,
113,07_25_2024,08_01_2024,,,,,,,,,,,,,,,,,,,,,,,,,,
114,07_25_2024,08_01_2024,,,,,,,,,,,,,,,,,,,,,,,,,,
115,07_25_2024,08_01_2024,,,,,,,,,,,,,,,,,,,,,,,,,,
101,08_01_2024,08_08_2024,,0,,,,,,,,,,,,,,,,,,5,,,,,,
102,08_01_2024,08_08_2024,,1,,,,,,,,,,,,,,,,,,6,,,,,,
103,08_01_2024,08_08_2024,,5,,,,,,,,,,,,,,,,,,8,,,,,,
104,08_01_2024,08_08_2024,,8,,,,,,,,,,,,,,,,,,11,,,,,,
105,08_01_2024,08_08_2024,,4,,,,,,,,,,,,,,,,,,5,,,,,,
106,08_01_2024,08_08_2024,,3,,,,,,,,,,,,,,,,,,9,,,,,,
107,08_01_2024,08_08_2024,,3,,,,,,,,,,,,,,,,,,2,,,,,,
108,08_01_2024,08_08_2024,,0,,,,,,,,,,,,,,,,,,5,,,,,,
109,08_01_2024,08_08_2024,,2,,,,,,,,,,,,,,,,,,3,,,,,,
110,08_01_2024,08_08_2024,,2,,,,,,,,,,,,,,,,,,6,,,,,,
111,08_01_2024,08_08_2024,,7,,,,,,,,,,,,,,,,,,6,,,,,,
112,08_01_2024,08_08_2024,,2,,,,,,,,,,,,,,,,,,2,,,,,,
113,08_01_2024,08_08_2024,,1,,,,,,,,,,,,,,,,,,6,,,,,,
114,08_01_2024,08_08_2024,,0,,,,,,,,,,,,,,,,,,2,,,,,,
115,08_01_2024,08_08_2024,,4,,,,,,,,,,,,,,,,,,10,,,,,,
