center_tree_number,quadrant_NE_SE_SW_NW,ash_species,number_of_stems,EAB_exit_holes_y_n,woodpecker_marks_y_n,ash_bark_splitting_y_n,epicormic_sprouts_y_n,basal_sprouts_y_n,percent_stems_with_signs_or_symptoms,ash_saplings_notes
1,NE,,0,,,,,,,
1,SE,,0,,,,,,,
1,SW,,0,,,,,,,
1,NW,,0,,,,,,,
2,NE,,0,n,n,n,n,n,0,
2,SE,,4,n,n,n,n,n,0,
2,SW,,2,n,n,n,n,n,0,
2,NW,,2,n,n,n,n,n,0,
3,NE,,2,n,n,n,n,n,0,
3,SE,,1,n,n,n,n,n,0,
3,SW,,2,n,n,y,y,n,50,
3,NW,,3,n,n,n,n,n,0,
95,NE,,3,,,,,,,
95,SE,,0,,,,,,,
95,SW,,1,,,,,,,
95,NW,,1,,,,,,,
49,NE,,1,,,,,,,
49,SE,,1,,,,,,,
49,SW,,4,,,,,,,
49,NW,,0,,,,,,,
50,NE,,0,,,,,,,
50,SE,,3,,,,,,,
50,SW,,0,,,,,,,
50,NW,,0,,,,,,,
53,NE,,26,,,,,,,many of the saplings are in the 2-2.5 cm range
53,SE,,20,,,,,,,
53,SW,,14,,,,,,,
53,NW,,28,,,,,,,
94,NE,,14,,,,,,,
94,SE,,22,,,,,,,
94,SW,,1,,,,,,,
94,NW,,1,,,,,,,
97,NE,,8,,,,,,,
97,SE,,3,,,,,,,
97,SW,,2,,,,,,,
97,NW,,0,,,,,,,
98,NE,,0,,,,,,,
98,SE,,0,,,,,,,
98,SW,,0,,,,,,,
98,NW,,0,,,,,,,
99,NE,,0,,,,,,,
99,SE,,0,,,,,,,
99,SW,,0,,,,,,,
99,NW,,0,,,,,,,
96,NE,,8,,,,,,,
96,SE,,16,,,,,,,
96,SW,,15,,,,,,,
96,NW,,6,,,,,,,
51,NE,,2,n,n,n,n,n,0,
51,SE,,1,n,n,n,n,n,0,
51,SW,,0,NA,NA,NA,NA,NA,NA,
51,NW,,0,NA,NA,NA,NA,NA,NA,
52,NE,,4,n,n,n,n,n,0,
52,SE,,1,n,n,n,n,n,0,
52,SW,,1,n,n,n,n,n,0,
52,NW,,3,n,n,y,n,n,0.3,
54,NE,,0,NA,NA,NA,NA,NA,NA,
54,SE,,0,NA,NA,NA,NA,NA,NA,
54,SW,,0,NA,NA,NA,NA,NA,NA,
54,NW,,0,NA,NA,NA,NA,NA,NA,
39,NE,black,2,n,n,n,n,n,0,
39,SE,NA,0,NA,NA,NA,NA,NA,NA,
39,SW,NA,0,NA,NA,NA,NA,NA,NA,
39,NW,green and black,3,n,n,n,n,n,0,
38,NE,green and black,4,n,n,n,n,n,0,
38,SE,green or white and black,2,n,n,n,n,n,0,
38,SW,green or white and black,3,n,n,n,n,n,0,
38,NW,black,1,n,n,n,y,n,100,
37,NE,NA,0,NA,NA,NA,NA,NA,NA,
37,SE,black,1,n,n,n,n,n,0,
37,SW,green and black,4,n,n,y,n,n,25,
37,NW,black,1,n,n,n,n,n,0,
25,NE,black,1,n,n,n,n,n,0,
25,SE,green or white and black,8,n,y,y,n,y,50,
25,SW,green or white and black,12,n,n,y,y,y,25,
25,NW,green or white and black,14,,,,,,,
57,NE,green or white,1,n,n,n,n,n,0,
57,SE,NA,0,NA,NA,NA,NA,NA,NA,
57,SW,NA,0,NA,NA,NA,NA,NA,NA,
57,NW,NA,0,NA,NA,NA,NA,NA,NA,
56,NE,NA,0,NA,NA,NA,NA,NA,NA,
56,SE,NA,0,NA,NA,NA,NA,NA,NA,
56,SW,NA,0,NA,NA,NA,NA,NA,NA,
56,NW,NA,0,NA,NA,NA,NA,NA,NA,
26,NE,?,2,n,n,n,n,n,0,
26,SE,?,10,n,n,y,n,n,30,
26,SW,?,1,n,n,n,n,n,0,
26,NW,?,2,n,n,n,n,n,0,
27,NE,?,2,n,n,n,n,n,0,
27,SE,?,5,n,n,n,n,n,0,
27,SW,?,6,n,n,y,n,n,50,
27,NW,?,2,n,n,n,n,n,0,
33,NE,?,3,n,n,n,n,n,0,
33,SE,black,1,n,n,n,n,n,0,
33,SW,?,6,n,n,y,n,n,50,
33,NW,?,13,n,n,y,n,n,15,
31,NE,NA,0,NA,NA,NA,NA,NA,NA,
31,SE,NA,0,NA,NA,NA,NA,NA,NA,
31,SW,NA,0,NA,NA,NA,NA,NA,NA,
31,NW,NA,0,NA,NA,NA,NA,NA,NA,
32,NE,NA,0,NA,NA,NA,NA,NA,NA,
32,SE,NA,0,NA,NA,NA,NA,NA,NA,
32,SW,NA,0,NA,NA,NA,NA,NA,NA,
32,NW,NA,0,NA,NA,NA,NA,NA,NA,
36,NE,NA,0,NA,NA,NA,NA,NA,NA,
36,SE,NA,0,NA,NA,NA,NA,NA,NA,
36,SW,NA,0,NA,NA,NA,NA,NA,NA,
36,NW,NA,0,NA,NA,NA,NA,NA,NA,
35,NE,NA,0,NA,NA,NA,NA,NA,NA,
35,SE,?,2,n,n,n,n,n,0,
35,SW,?,1,n,n,n,n,n,0,
35,NW,NA,0,NA,NA,NA,NA,NA,NA,
34,NE,?,1,n,n,n,n,n,0,
34,SE,NA,0,NA,NA,NA,NA,NA,NA,
34,SW,NA,0,NA,NA,NA,NA,NA,NA,
34,NW,NA,0,NA,NA,NA,NA,NA,NA,
63,NE,green or white,3,n,n,y,n,n,33,
63,SE,?,5,n,n,n,n,n,0,
63,SW,green,3,n,n,n,n,n,0,
63,NW,green or white,12,n,n,y,n,n,17,
86,NE,NA,0,NA,NA,NA,NA,NA,NA,
86,SE,NA,0,NA,NA,NA,NA,NA,NA,
86,SW,NA,0,NA,NA,NA,NA,NA,NA,
86,NW,NA,0,NA,NA,NA,NA,NA,NA,
78,NE,green?,14,n,n,y,y,n,14,see photo
78,SE,green,6,n,n,n,n,n,0,
78,SW,NA,0,NA,NA,NA,NA,NA,NA,
78,NW,NA,0,NA,NA,NA,NA,NA,NA,
77,NE,green,1,n,n,n,n,n,0,
77,SE,NA,0,NA,NA,NA,NA,NA,NA,
77,SW,green,2,n,n,n,n,n,0,
77,NW,green,2,n,n,n,n,n,0,
76,NE,NA,0,NA,NA,NA,NA,NA,NA,
76,SE,NA,0,NA,NA,NA,NA,NA,NA,
76,SW,NA,0,NA,NA,NA,NA,NA,NA,
76,NW,NA,0,NA,NA,NA,NA,NA,NA,
73,NE,NA,0,NA,NA,NA,NA,NA,NA,
73,SE,NA,0,NA,NA,NA,NA,NA,NA,
73,SW,NA,0,NA,NA,NA,NA,NA,NA,
73,NW,green or white,1,n,n,n,n,n,0,
74,NE,NA,0,NA,NA,NA,NA,NA,NA,
74,SE,NA,0,NA,NA,NA,NA,NA,NA,
74,SW,NA,0,NA,NA,NA,NA,NA,NA,
74,NW,NA,0,NA,NA,NA,NA,NA,NA,
75,NE,NA,0,NA,NA,NA,NA,NA,NA,
75,SE,NA,0,NA,NA,NA,NA,NA,NA,
75,SW,NA,0,NA,NA,NA,NA,NA,NA,
75,NW,NA,0,NA,NA,NA,NA,NA,NA,
109,NE,NA,0,NA,NA,NA,NA,NA,NA,
109,SE,NA,0,NA,NA,NA,NA,NA,NA,
109,SW,NA,0,NA,NA,NA,NA,NA,NA,
109,NW,NA,0,NA,NA,NA,NA,NA,NA,
100,NE,green or white,2,n,n,n,n,n,0,
100,SE,green or white,1,n,n,y,n,n,100,
100,SW,NA,0,NA,NA,NA,NA,NA,NA,
100,NW,NA,0,NA,NA,NA,NA,NA,NA,
112,NE,green or white,15,n,n,y,n,n,7,
112,SE,green or white,20,n,n,n,n,n,0,bittersweet vines are pulling down some of the saplings
112,SW,green or white,7,n,n,n,n,n,0,
112,NW,green or white,18,n,n,y,n,n,6,
113,NE,green or white,21,n,n,n,n,n,0,
113,SE,green or white,39,n,n,y,n,n,3,
113,SW,green or white,27,n,n,y,n,n,11,
113,NW,green or white,20,n,n,n,n,n,0,
114,NE,green or white,51,n,n,y,n,n,4,
114,SE,green or white,56,n,n,n,n,n,0,
114,SW,green or white,17,n,n,n,n,n,0,
114,NW,green or white,34,n,n,y,n,n,12,
110,NE,NA,0,NA,NA,NA,NA,NA,NA,
110,SE,NA,0,NA,NA,NA,NA,NA,NA,
110,SW,NA,0,NA,NA,NA,NA,NA,NA,
110,NW,NA,0,NA,NA,NA,NA,NA,NA,
111,NE,NA,0,NA,NA,NA,NA,NA,NA,
111,SE,NA,0,NA,NA,NA,NA,NA,NA,
111,SW,NA,0,NA,NA,NA,NA,NA,NA,
111,NW,NA,0,NA,NA,NA,NA,NA,NA,
69,NE,NA,0,NA,NA,NA,NA,NA,NA,
69,SE,NA,0,NA,NA,NA,NA,NA,NA,
69,SW,green or white,1,n,n,n,n,n,0,
69,NW,NA,0,NA,NA,NA,NA,NA,NA,
68,NE,green and pumpkin,4,n,n,n,n,n,0,see photos of possible pumpkin ash - may just be red ash (Fraxinus pennsylvanica var. pennsylvanica)
68,SE,green and pumpkin and black,13,n,n,n,n,n,0,
68,SW,green and pumpkin,9,n,n,n,n,n,0,
68,NW,green and pumpkin,5,n,n,n,n,n,0,
70,NE,NA,0,NA,NA,NA,NA,NA,NA,
70,SE,NA,0,NA,NA,NA,NA,NA,NA,
70,SW,?,3,n,n,n,n,n,0,
70,NW,?,2,n,n,n,n,n,0,
71,NE,NA,0,NA,NA,NA,NA,NA,NA,
71,SE,NA,0,NA,NA,NA,NA,NA,NA,
71,SW,NA,0,NA,NA,NA,NA,NA,NA,
71,NW,black and (green or pumpkin),3,n,n,n,n,n,0,
55,NE,NA,0,NA,NA,NA,NA,NA,NA,
55,SE,NA,0,NA,NA,NA,NA,NA,NA,
55,SW,NA,0,NA,NA,NA,NA,NA,NA,
55,NW,NA,0,NA,NA,NA,NA,NA,NA,
67,NE,NA,0,NA,NA,NA,NA,NA,NA,
67,SE,NA,0,NA,NA,NA,NA,NA,NA,
67,SW,NA,0,NA,NA,NA,NA,NA,NA,
67,NW,NA,0,NA,NA,NA,NA,NA,NA,
